round,institute,program,quota,category,opening_rank,closing_rank
Round 1,Durgapur Institute of Advanced Technology & Management,Computer Science & Engineering,All India,Open,5027,74396
Round 1,Jalpaiguri Goverment Engineering College,Computer Science & Engineering,Home State,SC (PwD),110290,110290
Round 1,Bankura Unnayani Institute of Engineering,Computer Science & Engineering,Home State,SC,65647,75743
Round 1,Bengal Institute of Technology,Computer Science & Engineering,All India,Open,12219,100949
Round 1,Govt. College of Engineering & Ceramic Technology,Computer Science & Engineering,Home State,Open (PwD),38291,38291
Round 1,Govt. College of Engineering & Textile Technology,Computer Science & Engineering,Home State,OBC - A,9214,13003
Round 1,Govt. College of Engineering & Textile Technology,Computer Science & Engineering,Home State,ST,45098,53794
Round 1,Ramkrishna Mahato Government Engineering College,Computer Science & Engineering,Home State,EWS,7547,10911
Round 1,Abacus Institute of Engineering & Management,Computer Science & Engineering,Home State,SC,46056,53575
Round 1,Asansol Engineering College,Computer Science & Engineering,All India,Open,918,42960
Round 1,Govt. College of Engg. & Textile Technology,Computer Science & Engineering,Home State,Open,3969,6649
Round 1,Techno India University,Computer Science & Engineering,Home State,EWS,21391,64035
Round 1,Sister Nivedita University,Computer Science & Engineering,All India,Open,106189,360262
Round 1,Maulana Abul Kalam Azad University of Technology,Computer Science & Engineering,Home State,OBC - A,5096,8439
Round 1,UNIVERSITY INSTITUTE OF TECHNOLOGY,Computer Science & Engineering,Home State,EWS,7881,12276
Round 1,University Of Calcutta,Computer Science & Engineering,All India,Open,48,365
Round 1,Swami Vivekananda University,Computer Science & Engineering,Home State,SC,74757,109764
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Computer Science & Engineering,Home State,OBC - A,10094,10830
Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Computer Science & Engineering,Home State,ST,32070,45861
Round 1,Calcutta Institute of Engineering & Management,Computer Science & Engineering,All India,Open,2603,20397
Round 1,Durgapur Institute of Advanced Technology & Management,Computer Science & Engineering,Home State,SC,86884,96288
Round 1,Dream Institute of Technology,Computer Science & Engineering,All India,Open,295652,1190918
Round 1,Ramkrishna Mahato Government Engineering College,Computer Science & Engineering,Home State,SC,9383,15800
Round 1,B.P. Poddar Institute of Management & Technology,Computer Science & Engineering,Home State,EWS,38040,111046
Round 1,Govt. College of Engineering & Ceramic Technology,Computer Science & Engineering,Home State,SC,5980,10061
Round 1,Govt. College of Engineering & Textile Technology,Computer Science & Engineering,Home State,OBC - B,5643,6035
Round 1,Jalpaiguri Goverment Engineering College,Computer Science & Engineering,Home State,Open,316,1747
Round 1,Jalpaiguri Goverment Engineering College,Computer Science & Engineering,Home State,Open (PwD),19872,31738
Round 1,Dr. B. C. Roy Engineering College,Computer Science & Engineering,All India,Open,3676,39210
Round 1,Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex,Computer Science & Engineering,All India,Open,1383,110804
